,k,Brier score,precision,recall,F1,profit,modified Brier score
0,10.0,0.6104096235738139,0.523926214353222,0.846608302261091,0.6450762344029455,-0.09006211663462436,0.04155438518616568
1,40.0,0.6146857725106405,0.5288113638543537,0.8108259135673274,0.6380027222672299,-0.11381037260825808,0.047534443735687465
2,70.0,0.6298539579065208,0.530140723490221,0.7717249681142155,0.6184415720147497,-0.07597292868259653,0.0560831171925373
3,100.0,0.6345870614339225,0.5339738355449665,0.7522915644956657,0.6162451681231907,-0.100289151332052,0.06303097823031448
4,130.0,0.6363103927822684,0.536216381148771,0.7418688663132023,0.6070985612244532,-0.12062446214409983,0.06697238734994908
5,160.0,0.6495762483702177,0.577177480245993,0.5872018644608643,0.5469580275700412,-0.10600989654856748,0.07938168213283818
6,190.0,0.6451571159394116,0.525723676591495,0.7122546124050053,0.5922084878363119,-0.14158926119198043,0.07123432746943066
7,220.0,0.6296265373396678,0.5432598129281943,0.7180575642713388,0.6063982292092971,-0.06409579785773165,0.06264490108564669
8,250.0,0.6341085026871424,0.5307045912261712,0.7105603319624445,0.5981074139795594,-0.0837919802252132,0.06504707875028927
9,280.0,0.6338422674570587,0.5342942579093439,0.7045935148101143,0.5959667813291835,-0.10719277670969538,0.06420421170589062
10,310.0,0.6477126603828381,0.5547366157511164,0.6888238308211224,0.5786549776734045,-0.11174283621715668,0.07243107555127849
