,k,Brier score,precision,recall,F1,profit,modified Brier score
0,5.0,243.13599999999906,0.5025432694181504,0.6940666309887322,0.5821952697962038,-0.1202131099514789,52.69745547742216
1,6.0,234.5333333333342,0.5064890251522274,0.703458193919065,0.5884755656433337,-0.10413354389819666,45.37438298061501
2,7.0,229.62448979591804,0.5115449928840163,0.6909684328974157,0.5872494546613041,-0.08307598645060901,40.87511496054289
3,8.0,225.003125,0.5139249161512361,0.7315710951607518,0.6030203735526938,-0.08669611828252341,37.52488826265652
4,9.0,223.04938271605005,0.5072957344888037,0.7166045715958181,0.5933120641571743,-0.06643999816900145,34.97486705524974
5,10.0,220.51400000000004,0.5160292429337505,0.7273136194940589,0.6030532552211596,-0.07535575391376026,32.5650509150407
6,11.0,219.40991735537165,0.5076117992722291,0.7440994001426253,0.6026885145130996,-0.08220961274375206,30.757686504769048
7,12.0,218.1555555555561,0.5055779035280878,0.7401380492264519,0.599859999282863,-0.0943861118740275,29.38931820536027
8,13.0,216.89112426035422,0.5135373478100169,0.7473559662122928,0.6077997355202811,-0.09981467545546119,28.041987437100595
9,14.0,215.62959183673402,0.5073645993995013,0.762417405189551,0.6084613394778549,-0.09899178797033811,26.79693614533871
10,15.0,214.60533333333365,0.509125229728204,0.7651683287517806,0.6105261070961261,-0.10209484573835052,25.91659057335845
11,16.0,213.3515625,0.5089438613156535,0.7649935613693921,0.6103561898072346,-0.10089125698068305,25.04243372862533
12,17.0,212.6581314878892,0.5083991717124979,0.7706903935358153,0.6118651745962375,-0.09376530257255353,24.430210819785295
13,18.0,211.89382716049482,0.5063359243833696,0.7759595192809092,0.6119661297938406,-0.07769976197015489,23.963064520545636
14,19.0,211.64819944598398,0.5068715845367542,0.7667868100487883,0.6095718856508884,-0.08108000549299658,23.52779982049213
15,20.0,211.15600000000026,0.5004974500206179,0.7732783469377564,0.6069590210591425,-0.07979911196557743,23.00361123280704
16,21.0,210.92426303854822,0.5013063870881096,0.7675290676631562,0.6056684219008622,-0.09071975647715841,22.51485699067187
17,22.0,210.36239669421548,0.5071009566276938,0.7776094650166037,0.6130621718619145,-0.09012992767554713,22.123273144597245
18,23.0,210.2638941398863,0.49918186826044614,0.7700813467719099,0.605010266637518,-0.09770574933626318,21.867833465277435
19,24.0,209.83437500000045,0.5033843705011386,0.7781525394754025,0.6106088648500008,-0.06519492813329694,21.450257449251314
20,25.0,209.28576000000004,0.5026033862804832,0.7783178862020617,0.6100785335624117,-0.07242550581342148,21.150585499460725
21,26.0,209.00562130177423,0.5040009288600646,0.7883585610962951,0.6142576029183948,-0.08380819371967434,20.924056111666417
22,27.0,208.8096021947872,0.5060350668833469,0.7946972957146389,0.617561376269752,-0.08367834843907376,20.722967392369082
23,28.0,208.8665816326527,0.5026095430568096,0.7941584172549232,0.6146820805824137,-0.0884065549757395,20.515004413824165
24,29.0,208.38953626634984,0.5042485230278023,0.8039197180071923,0.6189644794196125,-0.08237102444383446,20.251612071157055
25,30.0,207.99044444444456,0.503312963512535,0.8071280469195704,0.6191879659366432,-0.0815621807195828,20.105965113845585
26,31.0,207.74110301768937,0.5005381601838843,0.8015599043863098,0.6153864244609981,-0.10585951661631451,20.00316804352862
27,32.0,207.3935546875,0.5001940877888658,0.8078276080051401,0.6170077174202718,-0.11114564680032998,19.758952724507886
28,33.0,207.32011019283763,0.5026286714001158,0.8136023234240592,0.6207193960243883,-0.11296576947725015,19.507681355012462
29,34.0,207.25173010380604,0.5016971511931734,0.8134699733886374,0.6200386015770551,-0.10716248283438645,19.297793361615817
30,35.0,206.8651428571436,0.5007904734267952,0.8147491423743306,0.6196549510542763,-0.09610032042479202,19.09349539261116
31,36.0,206.84228395061768,0.5014588239073066,0.8186467872685659,0.6212753770037734,-0.09472674173761811,19.00189730849979
32,37.0,206.89145361577812,0.5018580069406413,0.819526707278863,0.6218708369645735,-0.08762720864231457,18.84076192733567
33,38.0,206.42728531856014,0.5027577021473195,0.83184193099939,0.6259582248445054,-0.10644857639842549,18.61230820026357
34,39.0,206.3021696252459,0.49998489576796407,0.8274486424560882,0.622679490704618,-0.09320066831456572,18.509035300859892
35,40.0,206.0169999999999,0.5018179092882767,0.831012513403673,0.6250430095976705,-0.09601958253227164,18.416071802608506
36,41.0,205.93741820345008,0.501538855460127,0.8346394927153344,0.6258346098292182,-0.09768322805090207,18.337672020458893
37,42.0,205.6821995464852,0.5014135943407638,0.8374217648060276,0.626528905481371,-0.08518444566511059,18.144929027951772
38,43.0,205.60010816657646,0.5043710036032517,0.8363800563093425,0.6284358080607547,-0.0966609539503803,18.063945630720433
39,44.0,205.49421487603337,0.5035579250478244,0.8396623553617711,0.6288261916801592,-0.10777330403735275,17.99344543282265
40,45.0,205.2100740740745,0.5018380571390055,0.8412463649495459,0.6277911042671067,-0.09268656962373008,17.885413317720484
41,46.0,205.2911153119092,0.5012542115584717,0.8364077771529541,0.6261256271078287,-0.09270232536848891,17.812186373502396
42,47.0,205.0717971933002,0.4991820331838053,0.8438023934882194,0.6265184303595228,-0.0808492813329675,17.681382951688384
43,48.0,204.9274305555561,0.4989876842826784,0.8450911765829325,0.6266056991509779,-0.0840221093106293,17.66237231570785
44,49.0,204.71170345689353,0.5038825095186169,0.8503756535336867,0.6319295554050599,-0.08325106655680709,17.584466935202723
45,50.0,204.67031999999944,0.5013374937243749,0.851981593650321,0.6304840425681153,-0.0723268699075348,17.524033702849685
46,51.0,204.5652441368708,0.5012406692525985,0.851395460036453,0.6301960688244362,-0.08424470383594271,17.4751136139823
