,data size,Brier score,precision,recall,F1,profit,modified Brier score
0,101.0,365.8619993427306,0.5295950155763239,0.74235807860262,0.618181818181818,-0.05432000000000026,77.68636919182704
1,111.0,364.4948323718279,0.5217391304347826,0.7336244541484717,0.6098003629764065,-0.07208000000000035,74.80771938996111
2,121.0,373.39486320335163,0.5186335403726708,0.7292576419213974,0.6061705989110707,-0.06634000000000029,78.11801750347196
3,131.0,367.0609604899147,0.5261538461538462,0.7467248908296943,0.6173285198555958,-0.10324000000000029,70.809555575819
4,141.0,371.4322498909864,0.531986531986532,0.6899563318777293,0.6007604562737643,-0.11542000000000036,78.65324653130506
5,151.0,369.7717929436211,0.5384615384615384,0.7030567685589519,0.6098484848484848,-0.1349200000000003,75.72054805884734
6,161.0,369.00956688180656,0.5322033898305085,0.6855895196506551,0.5992366412213742,-0.15430000000000024,73.77668096137572
7,171.0,365.44288010315546,0.5555555555555556,0.6986899563318777,0.6189555125725338,-0.13118000000000038,72.33862348443944
8,181.0,365.265323821699,0.5310344827586206,0.6724890829694323,0.5934489402697495,-0.07354000000000033,71.68912002344224
9,191.0,367.4811791253287,0.5317725752508361,0.6943231441048034,0.6022727272727273,-0.10634000000000036,72.57873435447671
10,200.0,364.37170216276155,0.5384615384615384,0.6724890829694323,0.5980582524271846,-0.09670000000000038,70.76473639216823
11,209.0,360.1479714392549,0.5454545454545454,0.6812227074235808,0.6058252427184466,-0.09532000000000036,68.2794849902873
12,217.0,360.0519236674572,0.5397923875432526,0.6812227074235808,0.6023166023166023,-0.06534000000000025,67.92785103635384
13,225.0,356.8624960317544,0.5373665480427047,0.6593886462882096,0.592156862745098,-0.06314000000000021,66.56837816199175
14,233.0,357.95289496987465,0.5387323943661971,0.6681222707423581,0.5964912280701754,-0.08582000000000033,66.91827293839808
15,241.0,357.3043941685245,0.5390070921985816,0.6637554585152838,0.5949119373776908,-0.07286000000000031,67.3238263160929
16,251.0,355.73502378460853,0.5480427046263345,0.6724890829694323,0.6039215686274509,-0.06248000000000025,67.60526882694242
17,261.0,348.1042019175695,0.549645390070922,0.6768558951965066,0.6066536203522505,-0.0817400000000003,62.73799492603643
18,271.0,344.7735213665238,0.541095890410959,0.6899563318777293,0.6065259117082533,-0.1103600000000004,58.6482477146131
19,281.0,345.9556862230361,0.5409252669039146,0.6637554585152838,0.596078431372549,-0.11590000000000039,59.6640535253719
20,291.0,345.84136566698953,0.5408163265306123,0.6943231441048034,0.6080305927342257,-0.1360200000000002,58.166845159943584
21,301.0,343.59228364491526,0.5415282392026578,0.7117903930131004,0.6150943396226415,-0.10712000000000035,56.68222007272668
22,311.0,338.37430920794884,0.5513698630136986,0.7030567685589519,0.6180422264875239,-0.053260000000000265,54.05002737848302
23,321.0,337.78136225934105,0.5620689655172414,0.7117903930131004,0.6281310211946051,-0.07524000000000039,53.48966949445367
24,331.0,339.8744355250012,0.54,0.7074235807860262,0.6124763705103969,-0.09462000000000045,53.20531756643059
25,341.0,338.40024459729545,0.5532646048109966,0.7030567685589519,0.6192307692307693,-0.08284000000000041,52.390182738164235
26,351.0,337.4562301668809,0.5618374558303887,0.6943231441048034,0.62109375,-0.10524000000000033,52.98184148025464
27,361.0,338.8476927349285,0.5622775800711743,0.6899563318777293,0.6196078431372548,-0.06700000000000024,54.34082482976753
28,371.0,341.5738604138655,0.5709090909090909,0.6855895196506551,0.623015873015873,-0.11268000000000031,54.72306395143965
29,381.0,341.86812487452744,0.5745454545454546,0.6899563318777293,0.626984126984127,-0.10312000000000035,55.33694448121414
30,391.0,339.54895764682675,0.5658362989323843,0.6943231441048034,0.6235294117647059,-0.11958000000000032,54.62061628930497
31,401.0,338.52918981614346,0.5578947368421052,0.6943231441048034,0.6186770428015564,-0.10750000000000032,52.13587491902757
32,411.0,337.9018371211714,0.568904593639576,0.7030567685589519,0.62890625,-0.11986000000000036,51.843498245585906
33,421.0,338.24820355788813,0.5734767025089605,0.6986899563318777,0.6299212598425197,-0.09798000000000033,53.085225871673735
34,431.0,339.80647638090915,0.5501730103806228,0.6943231441048034,0.6138996138996138,-0.11786000000000033,53.84442117460639
35,441.0,339.5226092914235,0.5524475524475524,0.6899563318777293,0.6135922330097087,-0.07130000000000034,53.05355118609021
36,451.0,338.0844999702085,0.5528169014084507,0.6855895196506551,0.6120857699805069,-0.07288000000000035,52.56817089043828
37,461.0,337.3802881672403,0.5512367491166078,0.6812227074235808,0.609375,-0.07852000000000031,52.79924663031431
38,471.0,338.8463950598167,0.5543859649122806,0.6899563318777293,0.6147859922178989,-0.07024000000000026,54.11537941874172
39,481.0,337.1430821420575,0.5587188612099644,0.6855895196506551,0.615686274509804,-0.0971000000000003,52.821946877224484
40,491.0,335.79543499908755,0.5614035087719298,0.6986899563318777,0.622568093385214,-0.07094000000000025,51.41692847063686
41,501.0,336.8480942577797,0.5622775800711743,0.6899563318777293,0.6196078431372548,-0.09588000000000028,52.14288532075989
42,511.0,336.9049623839058,0.5614035087719298,0.6986899563318777,0.622568093385214,-0.08790000000000024,51.70287851121777
43,521.0,336.6552100233988,0.5594405594405595,0.6986899563318777,0.6213592233009709,-0.11764000000000038,51.33125548889515
44,531.0,335.65940427827405,0.5559440559440559,0.6943231441048034,0.6174757281553398,-0.07804000000000028,50.10230851275137
45,541.0,336.56840992160573,0.5536332179930796,0.6986899563318777,0.6177606177606177,-0.06712000000000028,50.57577434129486
46,551.0,335.83583016363815,0.5598591549295775,0.6943231441048034,0.6198830409356726,-0.07938000000000027,50.72076733173523
