,index,model,Brier score,precision,recall,F1,confusion_matrix,profit,modified Brier score
0,0,Naive Bayes,0.6455366976531064,0.6108108108108108,0.7151898734177216,0.6588921282798834,"[[113, 6, 39], [34, 12, 26], [38, 12, 51]]",-0.022870090634441044,0.09312075118191157
0,1,Neural network,0.6139540318718338,0.6214285714285714,0.5506329113924051,0.5838926174496645,"[[87, 12, 59], [26, 13, 33], [27, 12, 62]]",0.09374622356495411,0.07338329465811763
0,2,k-NN,0.7294259818731088,0.5405405405405406,0.759493670886076,0.6315789473684211,"[[120, 15, 23], [46, 8, 18], [56, 17, 28]]",0.031208459214501206,0.15372807726700657
0,3,Bayesian network,0.7294259818731088,0.5405405405405406,0.759493670886076,0.6315789473684211,"[[120, 15, 23], [46, 8, 18], [56, 17, 28]]",0.031208459214501206,0.15372807726700657
0,4,Naive Bayes,0.6020232538443516,0.5659340659340659,0.6776315789473685,0.6167664670658684,"[[103, 11, 38], [42, 8, 26], [37, 9, 57]]",-0.1403927492447133,0.05810455364176551
0,5,Neural network,0.6247515385713811,0.5892857142857143,0.6513157894736842,0.61875,"[[99, 51, 2], [32, 40, 4], [37, 47, 19]]",-0.2529909365558916,0.07974189250196341
0,6,k-NN,0.6663444108761306,0.5227272727272727,0.756578947368421,0.6182795698924731,"[[115, 21, 16], [51, 14, 11], [54, 19, 30]]",-0.16519637462235667,0.1519110373316102
0,7,Bayesian network,0.6167691070542277,0.4964788732394366,0.9276315789473685,0.6467889908256881,"[[141, 1, 10], [68, 0, 8], [75, 1, 27]]",-0.07697885196374646,0.07555221206867649
0,8,Naive Bayes,0.6469743101799851,0.6010928961748634,0.7142857142857143,0.652818991097923,"[[110, 16, 28], [41, 15, 28], [32, 13, 47]]",-0.12624242424242443,0.08523577121509493
0,9,Neural network,0.6133738381386116,0.5699481865284974,0.7142857142857143,0.6340057636887609,"[[110, 0, 44], [45, 2, 37], [38, 0, 54]]",-0.21863636363636374,0.0533699053939715
0,10,k-NN,0.7583030303030271,0.5247524752475248,0.6883116883116883,0.5955056179775282,"[[106, 27, 21], [50, 15, 19], [46, 18, 28]]",-0.30751515151515246,0.16781007194188133
0,11,Bayesian network,0.6212484707938596,0.5057034220532319,0.8636363636363636,0.6378896882494004,"[[133, 2, 19], [63, 2, 19], [67, 0, 25]]",-0.29127272727272846,0.06570449179408855
0,12,Naive Bayes,0.6083342375159961,0.6379310344827587,0.6809815950920245,0.6587537091988132,"[[111, 12, 40], [34, 15, 30], [29, 6, 54]]",-0.07782477341389747,0.07437200356361875
0,13,Neural network,0.5956306584800458,0.570281124497992,0.8711656441717791,0.6893203883495146,"[[142, 0, 21], [56, 0, 23], [51, 0, 38]]",-0.15555891238670724,0.04791791241550723
0,14,k-NN,0.694380664652565,0.5357142857142857,0.6441717791411042,0.5849582172701949,"[[105, 28, 30], [48, 17, 14], [43, 19, 27]]",-0.09280966767371626,0.15951915476362433
0,15,Bayesian network,0.6137149566538029,0.5347985347985348,0.8957055214723927,0.6697247706422018,"[[146, 0, 17], [68, 0, 11], [59, 0, 30]]",-0.19468277945619375,0.07155917709882668
0,16,Naive Bayes,0.631492078265504,0.5714285714285714,0.6753246753246753,0.619047619047619,"[[104, 17, 33], [39, 11, 23], [39, 14, 51]]",-0.11024169184290046,0.08455947017364605
0,17,Neural network,0.5975723996966908,0.5502008032128514,0.8896103896103896,0.6799007444168734,"[[137, 6, 11], [52, 11, 10], [60, 7, 37]]",-0.18758308157099737,0.050496948919405454
0,18,k-NN,0.7202416918428975,0.5154639175257731,0.6493506493506493,0.5747126436781609,"[[100, 34, 20], [47, 13, 13], [47, 19, 38]]",-0.15208459214501546,0.1622794627768313
0,19,Bayesian network,0.6253047133421029,0.47619047619047616,0.974025974025974,0.6396588486140725,"[[150, 0, 4], [72, 0, 1], [93, 1, 10]]",-0.1414803625377647,0.07485876600651742
0,20,Naive Bayes,0.70307643687186,0.5174418604651163,0.6054421768707483,0.5579937304075235,"[[89, 13, 45], [44, 11, 36], [39, 14, 40]]",0.1310876132930511,0.09722296469698587
0,21,Neural network,0.6655501380963698,0.5187165775401069,0.6598639455782312,0.5808383233532934,"[[97, 35, 15], [43, 35, 13], [47, 33, 13]]",0.124864048338368,0.0710840759994564
0,22,k-NN,0.7724471299093626,0.4636363636363636,0.6938775510204082,0.555858310626703,"[[102, 24, 21], [61, 11, 19], [57, 19, 17]]",0.03359516616314155,0.1544879625370675
0,23,Bayesian network,0.6466189711601568,0.45666666666666667,0.9319727891156463,0.6129753914988814,"[[137, 0, 10], [84, 0, 7], [79, 0, 14]]",0.11078549848942569,0.06203480744513973
0,24,Naive Bayes,0.6605483348664561,0.5684210526315789,0.6792452830188679,0.6189111747851003,"[[108, 11, 40], [41, 8, 36], [41, 10, 36]]",-0.058247734138972836,0.07419532740032059
0,25,Neural network,0.6348736918528283,0.5728155339805825,0.7421383647798742,0.6465753424657533,"[[118, 16, 25], [44, 17, 24], [44, 18, 25]]",-0.07410876132930541,0.0553873993816265
0,26,k-NN,0.7163746223564923,0.5045045045045045,0.7044025157232704,0.5879265091863516,"[[112, 31, 16], [61, 12, 12], [49, 18, 20]]",-0.0893655589123871,0.16311151558530246
0,27,Bayesian network,0.6312523831279943,0.4882943143812709,0.9182389937106918,0.6375545851528385,"[[146, 0, 13], [77, 0, 8], [76, 0, 11]]",0.028036253776434955,0.05207955858379586
0,28,Naive Bayes,0.6315292933593664,0.5329949238578681,0.7241379310344828,0.6140350877192983,"[[105, 14, 26], [51, 11, 33], [41, 10, 39]]",-0.13078787878787815,0.05620757605605351
0,29,Neural network,0.6249750338083206,0.510548523206751,0.8344827586206897,0.6335078534031414,"[[121, 3, 21], [67, 10, 18], [49, 9, 32]]",0.01166666666666651,0.0451350142053836
0,30,k-NN,0.7798787878787855,0.4827586206896552,0.6758620689655173,0.5632183908045977,"[[98, 27, 20], [58, 13, 24], [47, 31, 12]]",-0.1578787878787877,0.1673118361325631
0,31,Bayesian network,0.6474919073230315,0.4519230769230769,0.9724137931034482,0.6170678336980306,"[[141, 0, 4], [88, 0, 7], [83, 0, 7]]",-0.08424242424242434,0.058224644760916294
