index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
1990.0,draw,3.4,3.1,2.25,13,10,8,8,4,4,58,65,79,61,-1,-1
1991.0,draw,2.5,3.3,2.87,3,7,4,4,9,3,51,63,74,47,5,5
1992.0,home win,1.53,3.8,7.5,11,8,7,6,1,4,60,53,57,58,4,-6
1993.0,home win,2.14,3.3,3.6,3,7,6,6,8,7,61,67,61,36,-1,16
1994.0,home win,1.85,3.5,4.5,3,3,5,6,7,8,51,49,75,58,-8,2
1995.0,home win,2.1,3.25,3.75,9,7,8,4,10,4,60,45,103,64,-15,-17
1996.0,home win,3.0,3.2,2.5,10,5,9,5,4,5,57,88,72,76,-14,-1
1997.0,home win,1.95,3.8,3.6,6,4,9,2,8,6,84,102,54,48,3,21
1998.0,home win,2.4,3.1,3.25,5,7,4,4,6,4,56,71,52,45,8,8
1999.0,home win,1.22,6.5,13.0,12,1,16,1,8,8,74,55,91,53,-6,-1
2000.0,draw,5.75,3.4,1.72,7,11,4,7,5,1,62,67,59,53,-15,9
2001.0,home win,1.16,8.0,15.0,1,13,2,6,11,2,98,59,51,78,14,1
2002.0,away win,1.5,4.0,7.5,7,5,4,5,3,6,62,58,49,67,4,-5
2003.0,away win,9.5,6.0,1.28,2,8,5,12,8,7,52,75,56,62,8,-1
2004.0,draw,1.8,3.8,4.5,6,5,2,7,4,5,63,59,54,64,2,-6
2005.0,home win,2.04,3.3,3.9,4,10,5,6,11,4,70,65,42,68,19,-6
2006.0,draw,3.6,3.3,2.1,1,8,2,6,9,4,53,61,61,52,-5,13
2007.0,draw,2.75,3.5,2.45,5,12,5,12,6,7,53,69,59,83,-13,0
2008.0,draw,1.55,4.0,6.0,4,12,6,8,7,4,86,50,83,104,-7,-18
2009.0,home win,2.0,3.3,4.0,11,4,9,4,4,6,66,52,57,66,1,6
2010.0,away win,2.62,3.4,2.62,13,5,8,3,3,4,54,47,107,56,-17,-16
2011.0,home win,1.44,4.0,9.0,9,3,5,3,2,6,59,54,53,54,11,6
2012.0,away win,2.75,3.1,2.75,8,6,6,3,4,3,56,75,55,45,3,15
2013.0,draw,2.04,3.2,3.75,8,5,6,3,5,5,55,60,80,59,-18,-17
2014.0,draw,2.3,3.3,3.25,10,7,4,7,3,11,51,85,85,42,-3,32
2015.0,home win,1.8,3.6,4.33,9,2,6,3,5,7,59,63,78,52,-16,4
2016.0,away win,1.18,7.0,13.0,11,4,14,4,7,7,75,63,63,60,-4,6
2017.0,away win,5.0,4.5,1.55,5,4,9,4,7,8,64,93,64,47,-8,15
2018.0,home win,1.75,3.6,4.5,10,11,9,9,7,4,61,65,72,59,1,1
2019.0,draw,3.1,3.4,2.25,1,2,5,4,9,8,52,90,53,84,8,-4
2020.0,home win,2.2,3.1,3.6,6,12,3,7,4,4,59,58,47,73,-5,-10
