model,Brier score,precision,recall,F1
k-NN,243.13599999999906,0.5025432694181504,0.6940666309887323,0.5821952697962038
Bayesian network,213.16548295755905,0.48164709143083445,0.8947753406029146,0.6241624713775515
Naive Bayes,212.9303677909706,0.5652192766283219,0.6945235685807785,0.6219862899908943
Neural network,206.65107262499137,0.5353666599574043,0.741353531385182,0.6117522714850031
